Beat #,Momento / Acción del Jugador (Beat),Emoción / Intensidad Deseada,Propósito del Diseño,Nivel / Entorno,Nombre de Archivo,Hora del Día,Beat de Historia,Foco del Gameplay (Progresión),Tiempo Estimado,Esquema de Color,Enemigos / Jefes,Mecánicas,Peligros (Hazards),Power-Ups,Nuevas Habilidades / Armas,Tesoro / Recompensa,Material Extra / Secretos,Pista de Música
1,"El jugador entra a una habitación, esqueletos surgen del piso para proteger a su amo",Asombro y curiosidad,Establecer atmósfera inicial y presentar enemigos básicos,La entrada a la mazmorra,Lvl1_Opening,Amanecer,El héroe comienza su viaje en busca del artefacto,Introducción al movimiento básico y al salto,0:00-1:00,Verdes oscuros + niebla matutina,Esqueletos básicos,Movimiento básico - Salto básico,Abismos pequeños,Ninguno,Ninguna,Ninguna,Ninguno,Música de exploración - tranquila y misteriosa
2,"Luego de acabar con los esqueletos, el jugador continúa su camino y se cruza con trampas y más enemigos en el camino","Excitación, aprendizaje, asombro",Enseñar mecánica de salto y esquiva de trampas,La entrada a la mazmorra,Lvl1_Escalation,Amanecer,El jugador avanza hacia la primera fuente,Salto + esquiva de obstáculos,1:00-3:30,Verdes grises + azul tenue,Esqueletos básicos + nuevos tipos,Salto - Carrera - Ataque básico,Trampas de pinchos - Daño por caída,Ninguno,Ninguna,Ninguna,Ninguno,Música de acción - ligera tensión
3,"El jugador llega a una sala con una fuente en el centro, plagada de esqueletos y un esqueleto más grande que el resto. Debe combatir esquivando trampas y enemigos","Acción, miedo, adrenalina, excitación",Pico del nivel - integra lo aprendido + introduce enemigo "mini-boss",La entrada a la mazmorra,Lvl1_Peak,Amanecer,Batalla por la primera fuente,Combate bajo presión + gestión de espacio,3:30-4:30,Rojos + azul oscuro,Esqueletos x5 + Esqueleto Capitán (mini-boss),Ataque - Defensa - Esquiva,Trampas de pinchos + enemigos simultáneos,Ninguno,Espada de hierro mejorada,Artefacto de luz (sección 1),Recinto secreto con monedas,Música épica - ritmo acelerado
4,"Luego de derrotar a las criaturas, el jugador se acerca e interactúa con la fuente teniendo que resolver un puzzle para avanzar.","Ingenio, resolución, inteligencia, asombro",Puzzle cognitivo - cierre emocional del nivel - introduce mecánica de "luces",La entrada a la mazmorra,Lvl1_Resolution,Amanecer,Primera luz apagada - se abre puerta izquierda,Resolución de puzzle - interacción con objetos,4:30-5:00,Azul dorado brillante,Ninguno,Interacción - Puzzle lógico (símbolos),Ninguno,Poción de salud +50HP,Ninguna,Primera luz del cristal activada,Mapa con símbolos de puzzle,Música mística - tonos resonantes
5,"La puerta se abre, una de las 3 luces de la puerta central se apaga, y la puerta de la izquierda se abre completamente","Sorpresa, entendimiento, asombro",Conexión del sistema - el jugador entiende la progresión de "3 fuentes = 3 puertas",La puerta izquierda,Lvl2_Opening,Mediodía,La aventura continúa - nuevo área,Narrativa visual - seguimiento de progreso,0:00-1:00,Azules más intensos + dorados,Ninguno,Caminata - Observación,Ninguno,Ninguno,Ninguna,Ninguno,Acceso a segunda zona,Música de transición - esperanza
6,"El jugador cruza la puerta y se encuentra con más esqueletos, trampas nuevas y un esqueleto tanque.","Excitación, asombro, descubrimiento",Introducción a nuevo tipo de enemigo (esqueletos tanque) y nuevas trampas eléctricas,La puerta izquierda,Lvl2_Escalation,Mediodía,Nuevos obstáculos aparecer,Combate contra enemigos con más HP + esquiva,1:00-3:00,Azules + púrpura oscuro,Esqueletos básicos + Esqueletos tanques x2,Ataque pesado - Mantener distancia,Rayos eléctricos (trampas) - Daño por caída,Ninguno,Ninguna,Espada de acero mejorada,Zona oculta con cofre,Música de desafío - ritmo medio
7,"Sigue caminando siguiendo la luz, pero encuentra en el camino una espada que hace un poco más de daño. Mientras combate con los esqueletos y un nuevo tipo de ellos, los magos","Asombro, sorpresa, superación, aprendizaje",Introducción a enemigos ranged (esqueletos magos) + recompensa visual (espada mejorada),La puerta izquierda,Lvl2_Peak,Mediodía,Encuentro con hechiceros enemigos,Combate mixto - melee vs ranged,3:00-5:00,Azules + rosa mágico,Esqueletos básicos + Tanques + Esqueletos magos x2,Ataque de rango (huir de magia) - Bloqueo,Proyectiles mágicos - Rayos eléctricos,Poción de mana +30,Espada de acero +2 daño,Segunda luz activada,Recinto subterráneo - 50 monedas,Música épica ranged - pulso constante
8,"Combate contra esqueletos, magos, trampas en el suelo y esqueletos tanque, además de esqueletos normales. Llega al final a desbloquear la fuente, con un nuevo puzzle.","Superación, superioridad, fuerza, destreza, sentirse inteligente, diestro",Fase final de nivel 2 - combate masivo con múltiples variables + puzzle,La puerta izquierda,Lvl2_Resolution,Mediodía,La segunda fuente está al alcance,Gestión de múltiples amenazas simultáneas,5:00-7:00,Dorado brillante + azul eléctrico,Esqueletos x5 + Magos x3 + Tanques x2,Ataque inteligente - Gestión de posición,Rayos múltiples - Pinchos - Daño mixto,Poción de salud +100HP,Ninguna,Segunda luz del cristal activada,Llave para zona de tesoro,Música épica - clímax sin boss
9,"El jugador debe volver al cuarto principal para notar que la puerta de la derecha está abierta y que la puerta principal se le apagó una segunda luz","Comprensión, superación, logro",Cierre narrativo - vista previa del último nivel,La puerta de la derecha,Lvl3_Opening,Atardecer,El camino final se revela,Narrativa visual - anticipación del final,0:00-1:00,Rojo oscuro + dorado,Ninguno,Caminata pensativa,Ninguno,Ninguno,Ninguna,Ninguno,Acceso a tercera zona + vista de boss,Música de anticipación - tonos oscuros
10,"El jugador cruza la puerta y se encuentra con un nuevo tipo de trampa, más enemigos, pero nada que no logre superar","Superación, logro, aprendizaje adquirido, superioridad",Escalada final hacia el climax - el jugador siente dominio sobre las mecánicas,La puerta de la derecha,Lvl3_Escalation,Atardecer,Preparación para el enfrentamiento final,Maestría de mecánicas previas bajo presión,1:00-3:00,Rojo intenso + negro profundo,Esqueletos x8 + Magos x4 + Tanques x3,Combate experto - Sin restricciones,Rayos devastadores - Abismos - Daño masivo,Poción legendaria de salud +200HP,Espada de diamante +5 daño - Especial,Tercera luz cercana,Cuartel de guerreros caídos,Música tensa - preparación
11,"Un esqueleto caballero, un Deathknight siervo del nigromante combate con el héroe, y muchos otros enemigos y criaturas.","Combate final, climax, aprendizaje de todo lo visto, asombro, superación",BOSS FINAL - Integración de TODAS las mecánicas - Prueba de maestría,La puerta de la derecha,Lvl3_Peak,Atardecer,Confrontación con el poder oscuro,Boss 2-fases + hordas de apoyo,3:00-6:00,Rojo sangre + púrpura oscuro,Deathknight Boss (2 fases) + Esqueletos elite x10,Ataque especial (fase 2) - Defensa total,Ataque demoledor del boss - Hordas simultáneas,Poción de inmortalidad temporal x1,Espada del Paladín legendaria (automática),Artefacto del Nigromante - Poder selado,Auténtica cámara del Nigromante,Música épica climática - batallas legítimas
12,"El héroe derrota a la criatura, y debe apagar la tercer fuente con un tercer puzzle. Cierre cinemático del juego.","Superación, logro, obtención, victoria, liberación",Puzzle final + Cierre emocional definitivo,La puerta de la derecha,Lvl3_Resolution,Anochecer,La victoria llega - Nekkman es derrotado,Ritual de selado - Narrativa de poder,6:00-7:00,Azul celeste brillante + blanco puro,Ninguno,Interacción ritual,Ninguno,Poción suprema +500HP,Arco del destino (reward legendaria),Tercer cristal + armadura del Paladín,Grimorio antiguo - poder revelado,Música de victoria - triunfal y épica
