Beat #,Momento / Acción del Jugador (Beat),Emoción / Intensidad Deseada,Propósito del Diseño,Nivel / Entorno,Nombre de Archivo,Hora del Día,Beat de Historia,Foco del Gameplay (Progresión),Tiempo Estimado,Esquema de Color,Enemigos / Jefes,Mecánicas,Peligros (Hazards),Power-Ups,Nuevas Habilidades / Armas,Tesoro / Recompensa,Material Extra / Secretos,Pista de Música
1,"el jugador entra a una habitacion, esqueletos surgen del piso para proteger a su amo",asombro y curiosidad,,La entrada a la mazmorra,Lvl1_Opening,,,,,,,,,,,,,
2,"luego de acabar con los los esqueletos, el jugador continua su camino y se cruza con trampas y mas enemigos en el camino","excitacion, aprendisaje, asombro",,La entrada a la mazmorra,Lvl1_Escalation/New,,,,,,,,,,,,,
3,"el jugador llegar a una sala con una fuente en el centro, plagada de esqueletos y un esqueleto mas grande que el resto. Debe combatir esquivando trampas y enimgos","accion, miedo, adrenalina, exitacion",,La entrada a la mazmorra,Lvl1_Peak,,,,,,,,,,,,,
4,"luego de derrotar a las criaturas, el jugador se acercada e interactura con la fuente teniendo que resolver un puzzle para avanzar.","ingenio, resolucion, inteligencia, asombro.",,La entrada a la mazmorra,Lvl1_Resolution,,,,,,,,,,,,,
5,"a la puerta se le apaga una de sus 3 luces, y la puerta de la izquierda se abre.","sorpresa, entendimiento, asombro",,La puerta izquierda.,Lvl2_Opening,,,,,,,,,,,,,
6,"el jugador cruza la puerta y se encuentra con mas esqueletos, trampas nuevas y un esqueleto tanque.","exitacion, asombro, descubrimiento",,La puerta izquierda.,Lvl2_Escalation/New,,,,,,,,,,,,,
7,"sigue caminando siguiendo la luz, pero encuentra en el camino una espada que hace un poco mas de daño. mientras combate con los esqueletos y un nuevo tipo de ellos, los magos","asombreo, sompresa, superacion, aprendisaje",,La puerta izquierda.,Lvl2_Peak,,,,,,,,,,,,,
8,"combate contra esqueletos, magos, trampas en el suelo y esqueletos tanque, ademas de esqueletos normales. Llega al final a desbloquar la fuente, con un nuevo puzzle.","superacion, superioridad, fuerza, destreza, sentirse inteligente, diestro",,La puerta izquierda.,Lvl2_Resolution,,,,,,,,,,,,,
9,el jugador debe volver al cuarto principal para notar que la puerta de la derecha esta abierta y que la puerta principal se le apago una segunda luz,"comprension, superacion, logro",,La puerta de la derecha,Lvl3_Opening,,,,,,,,,,,,,
10,"el jugador cruza la puerta y se encuentra con un nuevo tipo de trampa, mas enemigos, pero nada que no logre superar","superacion, logro, aprendisaje adquirido, superioridad",,La puerta de la derecha,Lvl3_Escalation/New,,,,,,,,,,,,,
11,"un esqueleto caballero, un deatknight siervo del nigromante combate con el heroe, y muchos otros enemigos y criaturas. ","combate final, climax, aprendisaje de todo lo visto, asombro, superacion",,La puerta de la derecha,Lvl3_Peak,,,,,,,,,,,,,
12,"El heroe derrota a la criatura, y debe apagar la tercer fuente con un tercer puzzle","Superacion, logro, obtencion, victoria",,La puerta de la derecha,Lvl3_Resolution,,,,,,,,,,,,,
